momentum_window,top_n,holding_months,trades,avg_return,median_return,win_rate,best_return,worst_return,avg_available_universe_size
3,1,1,125,0.022561935211254918,0.0034891496671165534,0.512,0.8128573411078648,-0.35241120487373445,92.216
3,1,2,123,0.07348755309749452,0.012248768891172546,0.5447154471544715,1.1214598983019939,-0.38944539127890654,92.1869918699187
3,1,3,122,0.12944913790231966,0.06078184584441515,0.5409836065573771,1.510322902206923,-0.5065620428402198,92.11475409836065
3,2,1,125,0.029539868043467615,0.006878579642399796,0.536,0.5836950086459661,-0.24591729456506517,92.216
3,2,2,123,0.06939318476602664,0.02586463119960347,0.5691056910569106,1.0059249865567905,-0.33450250298786166,92.1869918699187
3,2,3,122,0.09995123094875422,0.0519802704523708,0.6885245901639344,1.2668273852121414,-0.28367722495004605,92.11475409836065
3,3,1,125,0.03192326522779019,0.0080544751834849,0.56,0.5097421652218416,-0.22715374098299201,92.216
3,3,2,123,0.06652767010164728,0.03427257899864511,0.6260162601626016,1.2161337076235705,-0.31407342430689794,92.1869918699187
3,3,3,122,0.08798371638610852,0.0475520665721638,0.7213114754098361,0.9693711446257319,-0.29187885827536914,92.11475409836065
4,1,1,125,0.06630086636385611,0.03422990371647172,0.584,0.8128573411078648,-0.35241120487373445,92.216
4,1,2,123,0.13592834981669738,0.09629956239056581,0.6585365853658537,1.3292620693396717,-0.4006435912172921,92.1869918699187
4,1,3,122,0.18350455244164499,0.15152020763402763,0.6885245901639344,1.510322902206923,-0.40019543776732713,92.11475409836065
4,2,1,124,0.04286721583496028,0.026724430097081364,0.6209677419354839,0.5836950086459661,-0.24591729456506517,92.25
4,2,2,122,0.09116089501092375,0.06847092495278223,0.6639344262295082,1.0059249865567905,-0.33450250298786166,92.22131147540983
4,2,3,121,0.12281245865656117,0.0654678777564322,0.7603305785123967,1.2668273852121414,-0.2701326329970869,92.14876033057851
4,3,1,124,0.03933356713213133,0.01877319532800903,0.5806451612903226,0.5471292019726576,-0.21379996841971874,92.25
4,3,2,122,0.08475199410507986,0.052994846488445546,0.6721311475409836,1.2756186810098293,-0.251287550533473,92.22131147540983
4,3,3,121,0.11555924840062803,0.07804574803366697,0.7355371900826446,0.9220764362363564,-0.3310735342848313,92.14876033057851
5,1,1,125,0.04976352183647612,0.028439503932068178,0.568,0.8128573411078648,-0.41011952536559404,92.216
5,1,2,123,0.11514692620078706,0.07402230907906837,0.6422764227642277,1.3292620693396717,-0.4006435912172921,92.1869918699187
5,1,3,122,0.16540828787103654,0.11396415064574827,0.639344262295082,1.510322902206923,-0.4837556171107027,92.11475409836065
5,2,1,125,0.0491582939845459,0.02650429692467593,0.64,0.5836950086459661,-0.2784487430528717,92.216
5,2,2,123,0.09803764560178271,0.05693051975537444,0.7317073170731707,1.0059249865567905,-0.33450250298786166,92.1869918699187
5,2,3,122,0.14328341515289225,0.09915266945472254,0.7295081967213115,1.4433400889780097,-0.3585754506172098,92.11475409836065
5,3,1,125,0.039732738031111964,0.020489152385070097,0.64,0.5471292019726576,-0.226449822686712,92.216
5,3,2,123,0.07921835676061029,0.04705584579516201,0.7073170731707317,1.2756186810098293,-0.2965273845720487,92.1869918699187
5,3,3,122,0.11519684102383583,0.08031237792728493,0.7540983606557377,1.0005067971344614,-0.3310735342848313,92.11475409836065
6,1,1,125,0.04805194876730195,0.018279587653664775,0.568,0.8128573411078648,-0.41011952536559404,92.216
6,1,2,124,0.1118907416774581,0.07108008987829262,0.6290322580645161,1.3292620693396717,-0.4006435912172921,92.14516129032258
6,1,3,123,0.1659288938124506,0.08005111182962232,0.6178861788617886,1.6447501455040907,-0.4876768436876804,92.07317073170732
6,2,1,124,0.042838671140814515,0.01910827879375762,0.6129032258064516,0.46168217379401333,-0.2784487430528717,92.25
6,2,2,123,0.09783953387932161,0.05592204323197969,0.6747967479674797,1.3247770236926342,-0.33450250298786166,92.17886178861788
6,2,3,122,0.14340440710122407,0.10943746423713022,0.7049180327868853,1.4433400889780097,-0.3818732726538773,92.10655737704919
6,3,1,124,0.040661400140301084,0.022365100549399684,0.5887096774193549,0.5471292019726576,-0.24198133835770888,92.25
6,3,2,123,0.09009182808551869,0.07237026940667894,0.6910569105691057,1.2756186810098293,-0.30378353396489605,92.17886178861788
6,3,3,122,0.12168720520782257,0.087996060082973,0.7377049180327869,1.0005067971344614,-0.3310735342848313,92.10655737704919
7,1,1,125,0.06371489252137336,0.03379239845997306,0.608,0.8128573411078648,-0.35241120487373445,92.216
7,1,2,123,0.13057682754117536,0.0924870045169024,0.6341463414634146,1.3292620693396717,-0.4006435912172921,92.1869918699187
7,1,3,122,0.16696349766339605,0.0802490616512247,0.6147540983606558,1.6447501455040907,-0.612489592772095,92.11475409836065
7,2,1,125,0.04113324831359144,0.02719587341683627,0.624,0.46168217379401333,-0.2784487430528717,92.216
7,2,2,123,0.09067833263210089,0.051473681925361836,0.6585365853658537,1.3247770236926342,-0.33450250298786166,92.1869918699187
7,2,3,122,0.12477185659957986,0.08857147023148532,0.6967213114754098,1.4433400889780097,-0.3818732726538773,92.11475409836065
7,3,1,125,0.03918386051255567,0.025479479758439894,0.632,0.5471292019726576,-0.22462234652153923,92.216
7,3,2,123,0.08351258859757528,0.06108924507284689,0.6585365853658537,1.2756186810098293,-0.2965273845720487,92.1869918699187
7,3,3,122,0.11104619875485645,0.08422092382684537,0.7622950819672131,1.3217746606131746,-0.336128585709831,92.11475409836065
