momentum_window,year,Top 1 Hold 1M,Top 1 Hold 1M Trades,Top 1 Hold 2M,Top 1 Hold 2M Trades,Top 1 Hold 3M,Top 1 Hold 3M Trades,Top 2 Hold 1M,Top 2 Hold 1M Trades,Top 2 Hold 2M,Top 2 Hold 2M Trades,Top 2 Hold 3M,Top 2 Hold 3M Trades,Top 3 Hold 1M,Top 3 Hold 1M Trades,Top 3 Hold 2M,Top 3 Hold 2M Trades,Top 3 Hold 3M,Top 3 Hold 3M Trades
3,2016,0.5785065252470116,12,0.29823518474662447,6,0.6550052927484304,4,0.18122534675290214,12,0.10285671109392802,6,0.4169795971362731,4,0.18060408221993796,12,0.0460781362033198,6,0.47478176488016954,4
3,2017,0.10196645222000944,12,0.036091518313029036,6,0.5912460990187838,4,0.36477513954012997,12,0.1347037338498458,6,0.5985870561475146,4,0.32785834440174155,12,0.1720696224612881,6,0.37771989093347447,4
3,2018,0.08701432836248468,12,0.12421414255300545,5,0.04128377220675006,4,-0.2762705751450446,12,-0.1110464780296837,5,-0.16622099836763982,4,-0.05736544408883759,12,-0.027484628525873744,5,-0.009091804639950296,4
3,2019,-0.07035978787995822,12,0.1287262468573127,6,0.571317445285318,4,0.3842226822286001,12,0.4142010596900496,6,0.5536321041846768,4,0.6064605286123317,12,0.5362239294550557,6,0.4853569658158019,4
3,2020,1.8777516673399641,12,3.332654798468929,6,7.480569933113131,4,2.1775510290574682,12,1.897390811903498,6,2.3258195321428072,4,2.3364317520769924,12,1.82968760635239,6,1.3224172145758049,4
3,2021,0.37410157173483305,12,0.14601422916690776,6,-0.1575210896339143,4,0.4641739813257897,12,0.44666911876749293,6,-0.011475670785662917,4,0.5454638220071073,12,0.4341706221399093,6,-0.02039025380678472,4
3,2022,-0.6454638521203107,12,-0.5426623869551648,6,-0.4070823768327725,4,-0.5084512318027401,12,-0.36701080827142685,6,-0.37574531760725893,4,-0.38655092284117887,12,-0.40475258373400447,6,-0.2846536866247281,4
3,2023,0.29399811206055637,12,-0.1310817860563508,6,0.7589650436638442,4,0.5533609609440007,12,0.38874445876648234,6,0.6511261804403101,4,0.2653119914453941,12,0.44683636922082726,6,0.46036744956151354,4
3,2024,-0.38199498931395726,12,-0.1825551448302113,6,-0.03072923931401017,4,-0.033911765280115636,12,-0.055960613528142855,6,0.19360912450898393,4,0.08556492353396594,12,0.1307205846320716,6,0.2434960446704728,4
3,2025,0.1180951838125559,12,2.7460563559965636,6,-0.2089272626421832,4,0.2127701773047892,12,1.4945516398847185,6,0.3571137436503389,4,0.049454218818571816,12,0.8144081619601296,6,0.26231244466448755,4
3,2026,0.8558164706170623,5,0.7197316941272784,2,0.16671269166070668,1,1.3178664569820082,5,0.6000364321986866,2,0.05368794641565944,1,1.3422933541578668,5,0.4298950287322234,2,0.02386631889449209,1
4,2016,0.7040218387204304,12,0.679440591558047,6,0.4242008688460761,4,0.7292050191072423,12,0.537933156695658,6,0.5285062796663738,4,0.7107465853024555,12,0.5068503736827861,6,0.4999826365761346,4
4,2017,0.3486553527630951,12,0.6510390100975503,6,0.4541446519879082,4,0.24035479804313997,12,0.38568014786330806,6,0.3798100965170981,4,0.2654093617007236,12,0.3421053249228816,6,0.5032606605047854,4
4,2018,0.3054612355119768,12,-0.04427531176203858,5,0.7853669948193753,4,0.2950063043144562,11,-0.024917155782046785,5,0.28897792225977437,4,0.23762138383817177,11,0.02267432428143712,5,0.2087327042743612,4
4,2019,0.5475849721721702,12,0.4045756415002364,6,0.10512685037501335,4,0.2104044998016279,12,0.1348559575494639,6,0.3069694040247528,4,0.3075530511514042,12,0.09546958384298154,6,0.4873043600061824,4
4,2020,3.781819703870397,12,7.288896358784736,6,6.897995272620993,4,2.465746967028505,12,3.5580062085392354,6,1.944805695578439,4,1.3969943598165773,12,2.5431782609681197,6,1.5777265220955785,4
4,2021,0.5609984486422117,12,1.9957236146837225,6,0.08757165951799273,4,0.0813862315877063,12,0.7352454574515206,6,-0.049265398542583716,4,0.06169196162399504,12,0.392489834768055,6,-0.023738701856142352,4
4,2022,-0.4694591656444692,12,-0.44084461311004375,6,-0.1555945822491176,4,-0.3860322502710689,12,-0.33810253635079224,6,-0.11290300293354194,4,-0.3072328301948061,12,-0.12631322392576227,6,0.14823912681656082,4
4,2023,0.9382676746421164,12,0.7081354115607339,6,1.0804476619494885,4,0.8360490302049586,12,0.7177927959754133,6,0.8103711180712971,4,0.6366813716720228,12,0.8992091921823835,6,0.46506084915362944,4
4,2024,0.8755931498628389,12,1.0968158226592273,6,1.464134324597758,4,0.22903521009847938,12,-0.0038731361485934146,6,0.30641875641258,4,0.33667881419538337,12,0.05976820275475703,6,0.20405268279011524,4
4,2025,1.8046456864098785,12,0.3790549564921042,6,0.863643859362035,4,0.9919992984162755,12,1.1305621518117963,6,1.1438305629531191,4,0.9821969326500528,12,1.2440370974348642,6,0.788198629413295,4
4,2026,1.5093249334321306,5,0.7197316941272784,2,0.16671269166070668,1,1.3292103541819271,5,0.6807620923365147,2,0.06546787775643215,1,1.3147470067241271,5,0.6479442169940752,2,0.2392987781069995,1
5,2016,0.5267709067953683,12,0.7800993907294407,6,0.6101907715191066,4,0.49906856435872093,12,0.757777629872546,6,0.6781488980932968,4,0.5297082285522534,12,0.6503943677666819,6,0.6694295882015284,4
5,2017,0.4752766775085142,12,0.6963681044667964,6,0.43201054713040543,4,0.35856466809426246,12,0.36016388529367194,6,0.5984244578962032,4,0.4634023207167681,12,0.35383916746868116,6,0.5219410204096644,4
5,2018,-0.3924149235958456,12,-0.18166039597520311,5,-0.42837875995024677,4,-0.0949756370227528,12,-0.04537224308398713,5,-0.34820518985542626,4,-0.14685981550393157,12,-0.07383322359274525,5,-0.25413039989941366,4
5,2019,0.6124867881784803,12,0.7177483646361751,6,0.6403374884006285,4,0.253094159567141,12,0.3657608843265814,6,0.6291959719151969,4,0.2314652393523453,12,0.2081681406977558,6,0.4493056085334981,4
5,2020,1.2775864388609195,12,6.060637839351207,6,2.614966077564485,4,2.0722442877840908,12,3.7451540165869286,6,2.2867023978195107,4,1.5939462456997884,12,1.9152827975059687,6,1.2699595355873492,4
5,2021,1.4264173275251446,12,0.6282307536916452,6,0.608008908550479,4,0.6669551373834837,12,0.06839094849102212,6,0.12851469584806052,4,0.4412641735403935,12,0.12789231311331473,6,0.10367062905690738,4
