decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,avg_momentum,holding_return,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return
2016-01,2016-01-04,2016-02-01,2016-01-04,104,77,6,1,1,0.0839993153158786,-0.09484076195307578,NVDA,0.0839993153158786,-0.09484076195307578,,,,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,77,6,2,1,0.0839993153158786,0.015425352049657004,NVDA,0.0839993153158786,0.015425352049657004,,,,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,77,6,3,1,0.0839993153158786,0.12084389128335937,NVDA,0.0839993153158786,0.12084389128335937,,,,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,77,6,1,2,0.07745258556789623,-0.0962280717663429,NVDA,0.0839993153158786,-0.09484076195307578,AMZN,0.07090585581991386,-0.09761538157961003,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,77,6,2,2,0.07745258556789623,-0.037774708896915976,NVDA,0.0839993153158786,0.015425352049657004,AMZN,0.07090585581991386,-0.09097476984348896,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,77,6,3,2,0.07745258556789623,0.030209518768087473,NVDA,0.0839993153158786,0.12084389128335937,AMZN,0.07090585581991386,-0.060424853747184426,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,77,6,1,3,0.073285906898865,-0.05958683267078909,NVDA,0.0839993153158786,-0.09484076195307578,AMZN,0.07090585581991386,-0.09761538157961003,GOOG,0.06495254956080253,0.013695645520318545
2016-01,2016-01-04,2016-03-01,2016-01-04,104,77,6,2,3,0.073285906898865,-0.03553126004940366,NVDA,0.0839993153158786,0.015425352049657004,AMZN,0.07090585581991386,-0.09097476984348896,GOOG,0.06495254956080253,-0.031044362354379018
2016-01,2016-01-04,2016-04-01,2016-01-04,104,77,6,3,3,0.073285906898865,0.023765809826430135,NVDA,0.0839993153158786,0.12084389128335937,AMZN,0.07090585581991386,-0.060424853747184426,GOOG,0.06495254956080253,0.010878391943115462
2016-02,2016-02-01,2016-03-01,2016-02-01,105,78,6,1,1,0.06909117895599988,0.12181957534969823,NVDA,0.06909117895599988,0.12181957534969823,,,,,,
2016-02,2016-02-01,2016-04-01,2016-02-01,105,78,6,2,1,0.06909117895599988,0.2382836568091835,NVDA,0.06909117895599988,0.2382836568091835,,,,,,
2016-02,2016-02-01,2016-05-02,2016-02-01,105,78,6,3,1,0.06909117895599988,0.23314534523847597,NVDA,0.06909117895599988,0.23314534523847597,,,,,,
2016-02,2016-02-01,2016-03-01,2016-02-01,105,78,6,1,2,0.06076630961691965,0.07896626648432148,NVDA,0.06909117895599988,0.12181957534969823,KLAC,0.052441440277839424,0.03611295761894473,,,
2016-02,2016-02-01,2016-04-01,2016-02-01,105,78,6,2,2,0.06076630961691965,0.16776499238645404,NVDA,0.06909117895599988,0.2382836568091835,KLAC,0.052441440277839424,0.09724632796372457,,,
2016-02,2016-02-01,2016-05-02,2016-02-01,105,78,6,3,2,0.06076630961691965,0.14281538184351017,NVDA,0.06909117895599988,0.23314534523847597,KLAC,0.052441440277839424,0.052485418448544374,,,
2016-02,2016-02-01,2016-03-01,2016-02-01,105,78,6,1,3,0.05725308116838074,0.05208823510342878,NVDA,0.06909117895599988,0.12181957534969823,KLAC,0.052441440277839424,0.03611295761894473,TCOM,0.0502266242713029,-0.001667827658356602
2016-02,2016-02-01,2016-04-01,2016-02-01,105,78,6,2,3,0.05725308116838074,0.1346373991414227,NVDA,0.06909117895599988,0.2382836568091835,KLAC,0.052441440277839424,0.09724632796372457,TCOM,0.0502266242713029,0.06838221265136002
2016-02,2016-02-01,2016-05-02,2016-02-01,105,78,6,3,3,0.05725308116838074,0.11562166666464413,NVDA,0.06909117895599988,0.23314534523847597,KLAC,0.052441440277839424,0.052485418448544374,TCOM,0.0502266242713029,0.06123423630691205
2016-03,2016-03-01,2016-04-01,2016-03-01,105,78,6,1,1,0.07821732576943692,0.10381712355409789,NVDA,0.07821732576943692,0.10381712355409789,,,,,,
2016-03,2016-03-01,2016-05-02,2016-03-01,105,78,6,2,1,0.07821732576943692,0.09923678667674785,NVDA,0.07821732576943692,0.09923678667674785,,,,,,
2016-03,2016-03-01,2016-06-01,2016-03-01,105,78,6,3,1,0.07821732576943692,0.4330249010088396,NVDA,0.07821732576943692,0.4330249010088396,,,,,,
2016-03,2016-03-01,2016-04-01,2016-03-01,105,78,6,1,2,0.07656028070884918,0.0827420942305529,NVDA,0.07821732576943692,0.10381712355409789,MAT,0.07490323564826144,0.06166706490700791,,,
