date,QQQ
2015-01-02,94.56116485595703
2015-01-05,93.17402648925781
2015-01-06,91.92473602294922
2015-01-07,93.10974884033203
2015-01-08,94.89183807373047
2015-01-09,94.26720428466797
2015-01-12,93.2843017578125
2015-01-13,93.25672149658203
2015-01-14,92.74232482910156
2015-01-15,91.53893280029297
2015-01-16,92.61369323730469
2015-01-20,93.34860229492188
2015-01-21,93.82624053955078
2015-01-22,95.56243896484375
2015-01-23,95.77371215820312
2015-01-26,95.66349029541016
2015-01-27,93.18324279785156
2015-01-28,92.70557403564453
2015-01-29,93.59660339355469
2015-01-30,92.87091064453125
2015-02-02,93.67929077148438
2015-02-03,94.57951354980469
2015-02-04,94.49687194824219
2015-02-05,95.31441497802734
2015-02-06,94.7356948852539
2015-02-09,94.43254852294922
2015-02-10,95.9023208618164
2015-02-11,96.25138092041016
2015-02-12,97.37207794189453
2015-02-13,98.2080307006836
2015-02-17,98.29986572265625
2015-02-18,98.43766784667969
2015-02-19,98.92452239990234
2015-02-20,99.58589935302734
2015-02-23,99.68697357177734
2015-02-24,99.76043701171875
2015-02-25,99.51243591308594
2015-02-26,100.01765441894531
2015-02-27,99.57672882080078
2015-03-02,100.47693634033203
2015-03-03,100.00845336914062
2015-03-04,99.62265014648438
2015-03-05,99.7972183227539
2015-03-06,98.66732788085938
2015-03-09,98.95207214355469
2015-03-10,97.11483001708984
2015-03-11,96.55452728271484
2015-03-12,97.18836212158203
2015-03-13,96.7657699584961
2015-03-16,98.01509094238281
2015-03-17,98.17127227783203
2015-03-18,99.13581848144531
2015-03-19,99.28276824951172
2015-03-20,99.92542266845703
2015-03-23,99.7320785522461
2015-03-24,99.3730239868164
2015-03-25,97.0988540649414
2015-03-26,96.76742553710938
2015-03-27,97.15408325195312
2015-03-30,98.26815032958984
2015-03-31,97.22770690917969
2015-04-01,96.72134399414062
2015-04-02,96.78577423095703
2015-04-06,97.57760620117188
2015-04-07,97.41188049316406
2015-04-08,98.185302734375
2015-04-09,98.80216217041016
2015-04-10,99.20729064941406
2015-04-13,98.95868682861328
2015-04-14,98.67327880859375
2015-04-15,99.2901382446289
2015-04-16,99.15203857421875
2015-04-17,97.60521697998047
2015-04-20,99.06916046142578
2015-04-21,99.49268341064453
